from_stop_id,to_stop_id,weight_seconds,type
1.320,1.319,91,SW
1.320,1.321,94,SW
1.320,E.1032004,60,PW
1.320,E.32001,60,PW
1.320,E.32002,60,PW
1.320,E.32003,60,PW
1.320,E.32004,60,PW
1.321,1.122,180,TF
1.321,1.320,93,SW
1.321,1.322,93,SW
1.321,E.1032101,60,PW
1.321,E.32101,60,PW
1.321,E.32102,60,PW
1.322,1.321,94,SW
1.322,1.323,93,SW
1.322,E.1032201,60,PW
1.322,E.32201,60,PW
1.322,E.32202,60,PW
1.322,E.32211,60,PW
1.323,1.210,15,TF
1.323,1.322,98,SW
1.323,1.324,100,SW
1.323,1.9901,60,TF
1.324,1.323,93,SW
1.324,1.325,92,SW
1.324,E.1032401,60,PW
1.324,E.1032411,60,PW
1.324,E.32401,60,PW
1.324,E.32403,60,PW
1.324,E.32411,60,PW
1.325,1.324,93,SW
1.325,1.326,96,SW
1.325,E.1032521,60,PW
1.325,E.1032531,60,PW
1.325,E.32501,60,PW
1.325,E.32511,60,PW
1.325,E.32521,60,PW
1.325,E.32531,60,PW
1.326,1.126,45,TF
1.326,1.325,98,SW
1.326,1.327,95,SW
1.326,E.1032603,60,PW
1.326,E.32601,60,PW
1.326,E.32603,60,PW
1.326,E.32604,60,PW
1.327,1.213,300,TF
1.327,1.326,106,SW
1.327,1.328,97,SW
1.327,1.425,300,TF
1.327,E.1032701,60,PW
1.327,E.32701,60,PW
1.327,E.32702,60,PW
1.327,E.32711,60,PW
1.328,1.327,97,SW
1.328,1.329,109,SW
1.328,1.521,120,TF
1.328,E.1032801,60,PW
1.328,E.32801,60,PW
1.328,E.32802,60,PW
1.328,E.32803,60,PW
1.328,E.32811,60,PW
1.328,E.32812,60,PW
1.329,1.328,116,SW
1.329,1.330,77,SW
1.329,E.32901,60,PW
1.330,1.329,82,SW
1.330,1.331,102,SW
1.330,E.1033011,60,PW
1.330,E.33001,60,PW
1.330,E.33011,60,PW
1.331,1.330,125,SW
1.331,1.332,101,SW
1.331,E.1033101,60,PW
1.331,E.33101,60,PW
1.331,E.33102,60,PW
1.331,E.33103,60,PW
1.332,1.331,113,SW
1.332,1.333,104,SW
1.332,E.1033202,60,PW
1.332,E.33201,60,PW
1.332,E.33202,60,PW
1.333,1.332,104,SW
1.333,1.334,103,SW
1.333,1.534,45,TF
1.333,E.1033301,60,PW
1.333,E.33301,60,PW
1.334,1.333,91,SW
1.334,1.335,95,SW
1.334,E.1033402,60,PW
1.334,E.33402,60,PW
1.334,E.33403,60,PW
1.335,1.334,95,SW
1.335,1.336,101,SW
1.335,E.1033503,60,PW
1.335,E.33501,60,PW
1.335,E.33502,60,PW
1.335,E.33503,60,PW
1.336,1.335,101,SW
1.336,1.337,106,SW
1.336,E.1033601,60,PW
1.336,E.33601,60,PW
1.337,1.336,111,SW
1.337,1.338,122,SW
1.337,E.1033701,60,PW
1.337,E.33701,60,PW
1.337,E.33711,60,PW
1.338,1.337,122,SW
1.338,1.339,123,SW
1.338,E.1033801,60,PW
1.338,E.1033811,60,PW
1.338,E.33801,60,PW
1.338,E.33811,60,PW
1.338,E.33812,60,PW
1.339,1.338,121,SW
1.339,1.434,120,TF
1.339,1.1136,120,TF
1.339,E.33901,60,PW
1.413,1.221,45,TF
1.413,1.414,106,SW
1.413,E.1041301,60,PW
1.413,E.41301,60,PW
1.414,1.413,108,SW
1.414,1.415,83,SW
1.414,E.1041402,60,PW
1.414,E.41401,60,PW
1.414,E.41402,60,PW
1.415,1.414,86,SW
1.415,1.416,77,SW
1.415,E.1041501,60,PW
1.415,E.41501,60,PW
1.415,E.41511,60,PW
1.416,1.415,74,SW
1.416,1.417,71,SW
1.416,E.1041601,60,PW
1.416,E.41601,60,PW
1.416,E.41611,60,PW
1.417,1.416,71,SW
1.417,1.418,92,SW
1.417,E.1041711,60,PW
1.417,E.41701,60,PW
1.417,E.41711,60,PW
